"team","Ti","Cd","avg_starter_caps","coach_name","coach_tenure_yrs","combination_status","style_category","style_icon","ts_score_raw","Sd","win_pct_top10","n_players","data_source"
"South Africa",9.8,5.8,74,"Rassie Erasmus",8,"World Cup Champion Core (3+ yrs)","Set Piece & Bomb Squad","🛡️",9.5,9.8,82,480,"research_compiled_v3"
"New Zealand",9.7,4.5,62,"Dave Rennie",0.5,"New World Cup Cycle Rebuild","Running & Width","⚡",8.8,8.5,72,510,"research_compiled_v3"
"Ireland",9.5,8.5,68,"Andy Farrell",6,"Settled 6-Nations Champion Core","Set Piece & Lineout Drive","🎯",9.6,8.2,80,520,"research_compiled_v3"
"France",9.6,7.2,56,"Fabien Galthié",6,"Settled Grand Slam Core","Expansive & Unpredictable","🔥",8.8,9.2,75,495,"research_compiled_v3"
"England",9.4,5,52,"Steve Borthwick",3.5,"Rebuilt Post-2023 Unit","Kicking & Field Position","👟",7.2,7.8,52,490,"research_compiled_v3"
"Scotland",8.8,5.5,58,"Gregor Townsend",9,"Long-standing Core","Fast Attacking & Loose-Ball","💨",7.8,6.8,55,360,"research_compiled_v3"
"Argentina",8.5,3.8,64,"Felipe Contepomi",2,"Post-Cheika Transition","Physicality & Breakdown","💥",8.2,7.2,50,380,"research_compiled_v3"
"Australia",8.3,4.8,48,"Joe Schmidt",2.5,"Schmidt Rebuilding Phase","Kicking & Counter-Attack","👟",6.2,6.5,42,420,"research_compiled_v3"
"Fiji",7.8,4.5,42,"Mick Byrne",2,"Pacific Hybrid Combination","Unstructured Running Rugby","🏃",8,6.2,35,280,"research_compiled_v3"
"Japan",7.5,5.5,44,"Eddie Jones",3,"Eddie Jones Young Squad","High-Tempo & Passing","⚡",7.5,6,30,290,"research_compiled_v3"
"Wales",7.8,6.5,38,"Steve Tandy",1,"Gatland Major Rebuild","Developing Direct Game","🌱",5.8,5.5,25,370,"research_compiled_v3"
"Italy",7.5,5.8,36,"Gonzalo Quesada",2.5,"Quesada Evolving Unit","High-Tempo & Counter","💨",6.8,6.2,40,340,"research_compiled_v3"
"Georgia",6.5,4.2,45,"Richard Cockerill",2.5,"Set-Piece Heavy Core","Set Piece Warriors","🛡️",9,5.8,20,180,"research_compiled_v3"
"USA",5.5,3.5,32,"Scott Lawrence",2.5,"MLR Hybrid Unit","Direct MLR Physicality","💥",5.5,4.2,5,170,"research_compiled_v3"
"Portugal",5.5,3.8,28,"Simon Mannix",2,"European Professional Core","Fast & Offloading","💨",6.5,4.8,15,140,"research_compiled_v3"
"Chile",4.5,3.2,22,"Pablo Lemoine",6,"Super Rugby Americas Core","URBA Direct Physicality","💥",6,3.5,0,120,"research_compiled_v3"
"Spain",4.5,4,20,"Pablo Bouza",2,"División de Honor Core","Developing Identity","🌱",4.8,3.8,5,90,"research_compiled_v3"
"Uruguay",4.8,5,30,"Rodolfo Ambrosio",2,"Domestic Core Unit","Physical Breakdown Game","💥",6.2,4.5,10,100,"research_compiled_v3"
"Tonga",5.5,4.8,35,"Tevita Tu'ifua",2,"Pacific Veteran Core","Direct Pacific Power","💥",6.5,5.2,10,110,"research_compiled_v3"
"Romania",4.2,4.5,38,"David Gérard",2,"Eastern European Pack Unit","Set Piece & Maul","🛡️",7.2,4,5,95,"research_compiled_v3"
"Canada",4,3.8,24,"Kingsley Jones",7,"MLR Native Squad","Developing Identity","🌱",4.5,3.8,0,80,"research_compiled_v3"
